,,,,,,,,,,,,,,
"Progress of PNG D, CNG and Pipeline (inch-km) in the Country - March  2025",,,,,,,,,,,,,,
,,,,,,Actual Progress vis-à-vis MWP Targets as on 31.3.2025,,,,,,,,
S.No,GA ID,Geographical Area/ CGD Networks,State/ Union Territory,Authorized CGD Entity,Date of Authorization,PNG Domestic Connections (Nos.),,,CNG Stations (Nos.),,, Pipeline (inch-Km),,
,,,,,, Total MWP Target,Pro-Rata Target,Achievement, Total MWP Target,Pro-Rata Target,Achievement, Total MWP Target,Pro-Rata Target,Achievement
"Progress of PNG D, CNG and Pipeline (inch-km) in the Country - March  2025",,,,,,,,,,,,,,
,,,,,,Actual Progress vis-à-vis MWP Targets as on 31.3.2025,,,,,,,,
S.No,GA ID,Geographical Area/ CGD Networks,State/ Union Territory,Authorized CGD Entity,Date of Authorization,PNG Domestic Connections (Nos.),,,CNG Stations (Nos.),,, Pipeline (inch-Km),,
,,,,,, Total MWP Target,Pro-Rata Target,Achievement, Total MWP Target,Pro-Rata Target,Achievement, Total MWP Target,Pro-Rata Target,Achievement
71,9.14,Porbandar District,Gujarat,Adani Total Gas Limited,26-Sep-18,60464,21162,517,12,6,10,704,458,169
72,9.15,"Panchkula District (EAAA), Sirmaur, Shimla & Solan (EAAA) Districts",Haryana & Himachal Pradesh,Indian-Oil Adani Gas Private Limited,13-Sep-18,32360,11326,56,45,16,14,NA,NA,0
73,9.16,"Bhiwani, Charkhi Dadri & Mahendragarh Districts",Haryana,Adani Total Gas Limited,13-Sep-18,150464,52662,4612,60,32,51,1010,657,868
74,9.17,Hisar District,Haryana,HCG (KCE) Private Limited,28-09-2018,251370,50274,269,46,14,26,1991,796,286
,,,,,(New start date,,,,,,,,,
,,,,,01.01.2022),,,,,,,,,
75,9.18,Jhajjar District,Haryana,Haryana City Gas (KCE) Private,07-03-2019,138815,27763,294,46,14,27,1175,470,584
,,,,Limited,(New start date,,,,,,,,,
,,,,,01.01.2022),,,,,,,,,
76,9.19,Sonipat District (EAAA) & Jind District,Haryana,Hindustan Petroleum Corporation Limited,26-Sep-18,98000,34300,13312,38,20,43,1183,769,1229
77,9.2,Nuh & Palwal Districts,Haryana,Adani Total Gas Limited,13-Sep-18,181019,63357,29390,60,32,43,803,522,707
78,9.21,"Bilaspur, Hamirpur & Una Districts",Himachal Pradesh,Bharat Petroleum Corporation,06-Sep-18,28170,9860,9926,10,4,11,NA,NA,40
,,,,Limited,,,,,,,,,,
79,9.22,"Bokaro, Hazaribagh & Ramgarh",Jharkhand,Indian Oil Corporation Limited,06-09-2018,79052,15810,12189,99,30,25,1300,520,1094
,,Districts,,,(New start date,,,,,,,,,
,,,,,01.01.2022),,,,,,,,,
